證券代碼,Y,存貨週轉率大於 8.515,有投保董監責任險,獨立董監有兼任,當年度財報重編,3 年內 CPA 有異動,董事長兼任總經理,董事長內部化,總經理內部化,財務主管內部化,監察人內部化,3 年內董事長有異動,3 年內總經理有異動,3 年內財務主管有異動,3 年內發言人有異動,3 年內內部稽核有異動,四大會計師事務所簽證
8028 昇陽半導體,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8097 常珵,1,0,1,0,0,0,1,0,0,0,0,1,1,1,1,1,0
8472 夠麻吉,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2302 麗正,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1
2338 光罩,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1
2640 大車隊,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1
3006 晶豪科,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1
3014 聯陽,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
3130 一零四,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1,1
3227 原相,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
3374 精材,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1
3687 歐買尬,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,1,1
5287 數字,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1
5302 太欣,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1
5321 美而快,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
5425 台半,0,0,1,1,0,0,1,1,1,0,0,0,0,0,1,0,1
5471 松翰,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1
6526 達發,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8044 網家,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1
8454 富邦媒,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
8477 創業家,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2342 茂矽,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1
6165 浪凡,1,0,1,0,0,1,1,1,1,0,1,0,0,1,0,1,1
2424 隴華,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
3122 笙泉,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1
3306 鼎天,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1
3466 德晉,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,1
3499 環天科,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1
3564 其陽,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
3664 安瑞-KY,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0
4971 IET-KY,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1
5468 凱鈺,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,1
6103 合邦,0,1,1,0,0,1,0,1,0,0,1,1,1,1,1,0,0
6229 研通,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1
6263 普萊德,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0
6435 大中,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1
6457 紘康,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1
6494 九齊,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6510 精測,0,0,1,1,0,1,0,0,0,0,0,1,1,1,1,0,1
6515 穎崴,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8034 榮群,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1
8048 德勝,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1
8089 康全電訊,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,1,1
