證券代碼,Y,ROA 稅前息前折舊前,ROA 稅後息前,ROA 稅後息前折舊前,ROE 稅後,ROE 常續利益,已實現銷貨毛利率,營業利益率,稅前淨利率,稅後淨利率,業外收支 / 營收,常續利益率 稅後,營業費用率,現金流量比率,有息負債利率,稅率,每股淨值,常續性 EPS,每股現金流量,每股營業額,每股營業利益,每股稅前淨利,營收成長率,營業毛利成長率,已實現銷貨毛利成長率,營業利益成長率,稅前淨利成長率,稅後淨利成長率,經常淨利成長率,常續淨利成長率,總資產成長率,淨值成長率,折舊性固定資產成長率,總資產報酬成長率,流動比率,速動比率,利息支出率,總負債 / 總淨值,負債比率,淨值 / 資產,長期資金適合率,借款依存度,或有負債 / 淨值,營業利益 / 實收資本比,稅前純益 / 實收資本,存貨及應收帳款 / 淨值,應收帳款週轉次數,總資產週轉次數,固定資產週轉次數,淨值週轉率（次）,淨營業週期（日）
5222 全訊,0,14.7,7.26,13.03,8.8,9.05,55.12,4.39,9.44,9.44,5.06,9.72,50.73,56.41,5.16,0,5.77,0.5,0.71,5.15,0.23,0.49,25.02,655.28,655.28,110.62,119.53,119.53,119.53,120.09,15.31,9.2,-23.33,44.56,396.12,189.95,0.97,25.29,20.18,79.82,542.42,3.19,0,2.26,4.86,58.14,7.51,0.76,4.1,0.93,388.67
5269 祥碩,0,-5.28,-23.48,-12.54,-41.35,-41.35,45.56,-17.38,-18.64,-21.85,-1.26,-21.85,62.94,1.12,1.71,0,5,-1.96,0.04,8.96,-1.56,-1.81,14.51,-13.57,-13.57,-13.9,-8.37,-111.61,-111.61,-111.61,2.26,12.04,18.34,-13.69,135.42,83.02,-1.99,66.05,39.78,60.22,351.46,29.97,0,-15.58,-16.71,53.76,8.64,1.09,6.82,1.89,114.92
6138 茂達,0,10.85,5.59,9.13,7.14,7.1,21.93,4.33,5.38,4.94,1.05,4.91,17.6,23.84,0.56,8.22,16.38,1.17,1.39,23.71,1.03,1.28,-4.67,4.02,4.02,10.43,1.39,13.26,13.26,13.55,21.04,7.84,-7.16,1.02,291.83,197.38,0.02,34.69,25.76,74.24,571.31,0,0,10.18,12.66,64.68,4.41,1.13,7.66,1.44,111.33
8040 九暘,0,3.74,0.07,4.06,0.05,1.66,28.68,1.96,0.04,0.04,-1.92,1.19,26.72,33.08,3.18,0,13.09,0.22,1.54,18.64,0.37,0.01,25.91,15.79,15.79,-45.83,-98.63,-82.52,-82.52,22.02,7.37,-2.82,24.68,-0.29,231.73,171.65,53.11,36.49,26.73,73.27,360.76,1.88,0,3.53,0.07,39.48,7.79,1.08,5.6,1.4,37.91
3138 耀登,0,8.64,1.25,6.41,1.52,1.58,27.43,1.48,2.22,0.92,0.74,0.96,25.95,2.72,2.36,58.46,11.22,0.18,0.27,19.01,0.28,0.42,45.35,120.28,120.28,126.53,150.55,121.01,121.01,122.09,1.5,-2.89,-6.07,5.18,112.99,95.27,43.86,95.42,48.83,51.17,156.16,51.28,0,2.81,4.22,67.85,2.95,0.86,2.4,1.65,46.84
3558 神準,0,11.87,7.75,9.7,18,17.9,24.5,4.3,4.61,3.78,0.32,3.76,20.2,15.81,1.66,18.12,18.24,3.17,3.95,84.3,3.62,3.89,34.89,13.36,13.36,24.61,20.02,27.04,27.04,24.32,10.74,6.53,155.48,1.93,151.81,116.18,0.27,137.3,57.86,42.14,432.53,1.6,0,36.21,38.88,106.8,8.75,2.05,28.73,4.77,-8.89
3672 康聯訊,0,-4.07,-10.1,-11.04,-11.81,-17,31.66,-21.84,-12.86,-15.53,8.98,-22.36,53.5,-99.56,3.52,0,9.42,-1.69,-1.33,7.62,-1.66,-0.98,14.67,19.16,19.16,-17.55,30.7,-45.54,-45.54,-108.43,-13.26,-10.7,-21.54,-2.55,468.31,308.63,-1.04,14.16,12.4,87.6,295.44,0,0,-16.64,-9.8,26.91,10.39,0.66,2.11,0.76,93.17
3684 榮昌,0,12,5.97,9.33,9.03,9.01,31.18,7.96,5.71,4.29,-2.25,4.28,23.22,55.98,1.6,24.89,12.51,1.23,2.95,26.97,2.15,1.54,17.77,6.9,6.9,10.46,-9.42,-7.09,-7.09,-10.59,-2.85,-4.42,1.93,0.02,277.44,230.81,2.28,55.46,35.67,64.33,323.06,13.26,0,21.47,15.39,58.78,4.89,1.37,6.23,2.11,45.34
4905 台聯電,0,12.03,10.73,12.05,15.38,16.72,40.96,-1.2,29.86,27.72,31.06,30.13,42.16,-368.31,0,7.16,16.98,2.61,-5.69,9.17,-0.11,2.74,-27.45,38.09,38.09,88.37,600.26,777.22,777.22,774.98,39.78,16.29,2.07,14.45,1413.18,1234.77,0.07,55.52,35.7,64.3,3904.06,0,0,-1.09,27.06,17.65,5.98,0.39,20.24,0.55,114.36
5348 系通,0,-3.15,-9.63,-4.02,-17.18,-16.68,25.29,-9,-10.9,-10.91,-1.9,-10.59,34.28,1.71,1.53,0,8.16,-1.32,0.06,12.43,-1.12,-1.49,-9.18,-24.71,-24.71,-17.19,-18.04,-17.51,-17.51,-26.99,7.13,6.97,-4.86,-0.87,262.24,190.6,-4.03,72.83,42.14,57.86,334.53,40.89,0,-11.11,-13.46,51.77,6.44,0.91,3.79,1.58,97.88
