,ROA 稅前息前折舊前,ROA 稅後息前,ROA 稅後息前折舊前,ROE 稅後,ROE 常續利益,已實現銷貨毛利率,營業利益率,稅前淨利率,稅後淨利率,業外收支 / 營收,常續利益率 稅後,營業費用率,現金流量比率,有息負債利率,稅率,每股淨值,常續性 EPS,每股營業利益,每股稅前淨利,營業毛利成長率,已實現銷貨毛利成長率,營業利益成長率,稅前淨利成長率,稅後淨利成長率,經常淨利成長率,常續淨利成長率,總負債 / 總淨值,負債比率,淨值 / 資產,長期資金適合率,借款依存度,或有負債 / 淨值,營業利益 / 實收資本比,稅前純益 / 實收資本,存貨及應收帳款 / 淨值,應收帳款週轉次數,固定資產週轉次數,淨值週轉率（次）,淨營業週期（日）,存貨週轉率大於 8.515,有投保董監責任險,獨立董監有兼任,3 年內 CPA 有異動,董事長兼任總經理,董事長內部化,總經理內部化,監察人內部化,3 年內董事長有異動,3 年內總經理有異動,3 年內財務主管有異動,3 年內發言人有異動,3 年內內部稽核有異動,四大會計師事務所簽證
營業毛利成長率,0.10131200012127861,0.1713175483513815,0.11752126070610816,0.19235138024453852,0.13675285597140252,0.13412369801379787,0.13700870164208037,0.08694159586649995,0.0032280869680448776,0.046351996624496204,0.07451829154536092,-0.04866242213713509,-0.007197638904111148,-0.017689000241644364,-0.020762029822739347,-0.04422679424329522,0.06516828841920011,0.048279527273512396,0.06490056010523217,1.0,0.9999998276445194,0.04258120480707648,0.06728495539200445,0.009829697048768016,0.13493368454839647,0.1321090873455108,0.06252045721913245,0.051064566875066414,-0.05106456687506639,-0.010182237190367547,-0.041491068030018584,-0.012992418282580803,0.048448966792259386,0.061938573720583555,0.22713101736463384,0.013394579771005218,0.09367583514845548,0.20504834740793237,-0.023771011916701362,-0.014499478853553908,-0.00454518685204356,-0.0072819168913406986,-0.04167364262395714,-0.021684635324646977,0.028633932986563162,0.003230104027445008,0.014584383849800344,-0.014060103645519115,0.017319720483161015,0.010639085212543208,0.015970172920549797,-0.06167317035468558,0.03159216112295765
已實現銷貨毛利成長率,0.10127960488607901,0.17129262536940487,0.1174857298427622,0.19233068093796565,0.13672995715536912,0.13416266908411406,0.13699275915749706,0.0869367107984304,0.0032256418811561945,0.04635379087227165,0.07451251890066736,-0.04863640223320822,-0.007206157091106157,-0.017702713927286645,-0.020763025702584505,-0.04421853151179714,0.06517016188964837,0.0482832046062496,0.06490389448282978,0.9999998276445194,1.0,0.04258848122306661,0.0672790552962967,0.009815343752151158,0.13492090942003124,0.13209309390467594,0.06248925677662777,0.05102013012217625,-0.051020130122176245,-0.010179728826815022,-0.041500984909484215,-0.01299275932014322,0.04845264565387125,0.06194193940898642,0.22710264914310793,0.013391080305286388,0.09367798963297555,0.2049964917464638,-0.023764737380235868,-0.014564821462202188,-0.004584940278684517,-0.007285716226559679,-0.041668230029758904,-0.021685089937566796,0.028659469708449143,0.003230235838972573,0.014590204910710166,-0.014133981085592455,0.017259136467129173,0.01067334343427912,0.015970973793924308,-0.061653165286358544,0.031585430013269716
營業利益成長率,0.1193911026402138,0.11811685473281369,0.11500270548590201,0.11731118319712133,0.11314365025277183,0.032463440765973454,0.04729254396264875,0.016549415346992957,0.008910013236526763,-0.0036558053852882035,0.013542878856752249,-0.020580647859100555,0.04370722283822023,-0.07751802250143504,0.09995959980110852,0.03718840529823321,0.0799930885836915,0.10323689701693313,0.0984726228326007,0.04258120480707648,0.04258848122306661,1.0,0.24420171745890112,0.2912021645925329,0.30737530059862284,0.3028204126236393,0.03878881175573645,0.031563224127337704,-0.031563224127337704,0.009018712277473792,-0.0038186915949591175,-0.002355111343024033,0.10310814020613213,0.09033162368235431,0.03582885895753849,0.03138712148191664,0.03661728980667796,0.07540417422330273,-0.013163219226983554,-0.004442030003508861,-0.015866351076351384,-0.017672690905312843,0.007600052491498166,0.08300210851859102,0.08109054250675368,0.06663956507272871,0.015377599123244164,-0.13158143935286293,-0.10372306639803981,0.07109026639454954,0.06699445317282773,0.061247269382630525,-0.08405005436310142
稅前淨利成長率,0.20511748562962429,0.24137977239956968,0.21181488001963208,0.21334249732159616,0.1776656055870337,0.004992291046115324,0.09694629517343721,0.05173256499115154,0.025659972097011662,0.01894523078279974,0.04281479425821364,-0.0670116092821903,0.04618650485688987,0.06384421286443347,0.15109633111621582,0.039167057014910064,0.1375980531914276,0.13275248121033537,0.15242534468040203,0.06728495539200445,0.0672790552962967,0.24420171745890112,1.0,0.7518762275042211,0.795690446462021,0.6123843120901987,0.10464887977087917,0.1550495815069034,-0.15504958150690346,-0.07572074601610997,0.04474686687902918,0.00012372708171236657,0.13267009223764045,0.14945368889771107,0.09513453125679514,-0.04765170848233419,-0.038692904299550565,0.1520173263001043,-0.0236918182219489,-0.0006724608544245024,0.05876714034876439,0.03275935822209397,0.02073142265966388,0.038834773314066706,0.0005646440107913954,0.023012628803991037,0.022587325068305797,-0.06530802337663594,-0.09784200736720965,-0.005527215627747989,-0.046098696874243845,-0.01594338162114831,-0.01698691410465774
稅後淨利成長率,0.324677324310307,0.36400778882658463,0.33413871739722684,0.34164146675202,0.3089638826719872,0.1343260497664796,0.1368578067198741,0.061214601666198444,0.08403166163907307,0.0027570986756428424,0.04722080324258109,-0.03757308719096368,0.10568218557413138,-0.006647903185590724,0.2269009173746538,0.09377854357764236,0.23510145241387623,0.22626808079246985,0.2626111922861094,0.009829697048768016,0.009815343752151158,0.2912021645925329,0.7518762275042211,1.0,0.9456669186603461,0.7220862168092824,0.02342926139082437,0.05042801075667606,-0.050428010756676044,0.012790113269545865,-0.03912345429485077,-0.002144622512148224,0.22584927402999252,0.2563520230032368,0.004447649121157602,0.014409594221750662,-0.0006208674379186406,0.13479145241077167,0.005219872902126444,-0.04968505342907347,0.03775875722199911,-0.003532311576912771,0.027999715541196117,0.050325624242649594,-0.021826558913167673,0.008432848949586888,0.004516940626700477,-0.07400852650482113,-0.06662499285371375,-0.0011162017181911704,-0.0459499249806329,0.009343389471627382,0.03973011931933937
經常淨利成長率,0.31963025671968787,0.3866628398993131,0.33159679842235856,0.36868430337441854,0.3111283528525915,0.12705465246566455,0.15990480238257587,0.09193135710367101,0.04664223709767528,0.03935601852296006,0.07493321602312429,-0.068021160008194,0.08012747382071979,-0.016841304191487893,0.21306216285398571,0.06836209865450389,0.23256373694052487,0.2206874738170322,0.2646639443833624,0.13493368454839647,0.13492090942003124,0.30737530059862284,0.795690446462021,0.9456669186603461,1.0,0.7630507593556054,0.0319115877788486,0.07014127742510967,-0.07014127742510969,-0.03117396784984528,-0.028333364406606786,-0.004358782828369654,0.2202465503391983,0.2586219156335248,0.023542263603073686,-0.005187965937665994,-0.008850613441380658,0.1294912473383585,-0.031715084385926844,-0.06705605087901595,0.016051129284780398,-0.019231823704617637,0.026382104578581412,0.04227567046150382,-0.010145251038193661,-0.004696836903517153,0.04621851340752188,-0.0792277082277996,-0.03616666739212199,0.033159196699761445,-0.016761660043464174,-0.0066911828356268,0.03598700313100252
常續淨利成長率,0.3032742850683754,0.3288366205489725,0.32070327620167166,0.3282815801525602,0.31932688696666783,0.11295330503388182,0.15622264675237924,0.07875221314589048,0.040072391312213074,0.02097186779157103,0.07467513488055101,-0.06685258212793234,0.07259897158751386,0.01810875947409506,0.18075087729554337,0.08491378298166621,0.22493906606185965,0.20760365444589463,0.22458429105361394,0.1321090873455108,0.13209309390467594,0.3028204126236393,0.6123843120901987,0.7220862168092824,0.7630507593556054,1.0,-0.0584482863212329,-0.017690483774268306,0.017690483774268306,0.005862773918425913,-0.1447784868428154,-0.007541955294164236,0.20746438516336635,0.2192230211825929,-0.012035199636145664,-0.053459266799941466,0.03589930971027233,0.08415239175761116,-0.03373299194315606,-0.0527192964735252,-0.0063528061276334705,0.0282365150899319,-0.02328956595009524,0.13926228258593898,0.060103719684500435,0.09503448513562195,0.026296986186151807,-0.11993873674151273,-0.06963553187476366,-0.027996154259440246,-0.03539972633046902,-0.0007276269159072753,0.036078093515367754
總負債 / 總淨值,-0.26801609573528135,-0.2765765448750619,-0.27579632977925256,-0.26837445924305625,-0.3089781123187354,-0.3453931336155002,-0.05350877809681155,0.0028482892839738574,-0.06287391201998697,0.033138597462963604,0.004929349284872814,-0.10128700006402981,-0.2697791030616859,0.31848748052789905,-0.059096186738997275,-0.258324185328003,-0.20726129228903353,-0.17421494361595205,-0.1844975603029405,0.06252045721913245,0.06248925677662777,0.03878881175573645,0.10464887977087917,0.02342926139082437,0.0319115877788486,-0.0584482863212329,1.0,0.9264546852568601,-0.9264546852568604,-0.1362225885212018,0.7741661811799863,-0.009293639337536281,-0.17533575109605443,-0.17489914301949408,0.6565824121978424,0.010344736938240536,0.06944223353497594,0.6243607706783151,-0.13905337944732585,0.18954788881215281,-0.09182885111546844,-0.1744354179325845,0.07830765413204843,-0.08385230572826359,-0.03743758120677532,-0.06183034346425758,-0.0712234571753671,-0.07448761409777643,0.018565957509395187,0.04563904276424051,0.043331359092705815,-0.01770254708802942,-0.1823817059492497
負債比率,-0.22068478726018856,-0.23297432206390886,-0.23301982156132015,-0.19890111420999204,-0.23958896829220838,-0.3581799197683196,-0.012402778564941461,0.036187705518023264,-0.08000311408096714,0.06715546661075164,0.042673819855459094,-0.15454165925804475,-0.31374176033356205,0.3362676114158263,0.021197478422159237,-0.19750703276712817,-0.13271281925018427,-0.09873296688577127,-0.10724417676902306,0.051064566875066414,0.05102013012217625,0.031563224127337704,0.1550495815069034,0.05042801075667606,0.07014127742510967,-0.017690483774268306,0.9264546852568601,1.0,-1.0,-0.21216508814537252,0.7190105766698003,0.011261424892277964,-0.09966404152633773,-0.09830276841809878,0.6552910035069875,-0.01536152145026202,0.029416890372056675,0.6180187711587848,-0.14086754220350256,0.19482373044170784,-0.04143411896478168,-0.11841471815731953,0.0727294990238628,-0.08112342137348237,-0.02920274747761425,-0.07552129091214316,-0.08426046943312986,-0.09391968572475443,-0.020159056454038968,0.019746755430921515,0.03194184291152728,-0.02039522302162539,-0.13951945784669795
淨值 / 資產,0.2206847872601886,0.2329743220639089,0.2330198215613202,0.1989011142099921,0.2395889682922085,0.3581799197683196,0.012402778564941468,-0.03618770551802327,0.08000311408096714,-0.06715546661075163,-0.04267381985545909,0.15454165925804472,0.31374176033356194,-0.33626761141582645,-0.02119747842215923,0.19750703276712822,0.13271281925018436,0.0987329668857713,0.10724417676902312,-0.05106456687506639,-0.051020130122176245,-0.031563224127337704,-0.15504958150690346,-0.050428010756676044,-0.07014127742510969,0.017690483774268306,-0.9264546852568604,-1.0,1.0,0.21216508814537255,-0.7190105766698003,-0.011261424892277954,0.09966404152633782,0.0983027684180988,-0.6552910035069875,0.015361521450262032,-0.029416890372056675,-0.6180187711587851,0.14086754220350262,-0.1948237304417079,0.041434118964781684,0.11841471815731953,-0.07272949902386285,0.08112342137348237,0.029202747477614244,0.0755212909121432,0.08426046943312988,0.09391968572475448,0.020159056454038957,-0.01974675543092152,-0.031941842911527324,0.020395223021625407,0.139519457846698
長期資金適合率,-0.019582996512636872,-0.00546300588343734,-0.0036541994105767617,-0.0019971240820747345,0.0067914913176797265,-0.04912482985724114,-0.36657365495823274,-0.44282707311945674,0.6409396091141977,-0.5247147331361262,-0.4606079749874205,0.46980331010602994,0.13825439666125042,-0.2009589430147001,-0.14652263569862078,-0.02832306129806692,-0.06470472414858298,-0.0625488900234804,-0.05440829659737561,-0.010182237190367547,-0.010179728826815022,0.009018712277473792,-0.07572074601610997,0.012790113269545865,-0.03117396784984528,0.005862773918425913,-0.1362225885212018,-0.21216508814537252,0.21216508814537255,1.0,-0.16470255946223458,-0.01772977292599936,-0.062413488445889814,-0.06863958801374387,-0.15202652574259068,0.12185226940174188,0.33364208329695444,-0.08413492604085283,0.6712365964760941,-0.019730335073205388,-0.0806699704627294,-0.0572421461146899,-0.03562341480336825,-0.04000035356095415,-0.09462341481500045,-0.02880293361533705,-0.023743234047971316,-0.03671458768617445,0.0053525621478662045,-0.05227262298374036,-0.03210991991343879,-0.0387275599249348,-0.03275038308548608
借款依存度,-0.2921544287741242,-0.336545024804041,-0.2999467488668056,-0.36975998266623866,-0.3854530377345446,-0.38670283898887203,-0.08259087261921938,-0.008515906568569539,-0.03261117210803421,0.050919044152151496,-0.0024313082265279068,-0.10281060866495577,-0.24305889362168376,0.3585683158596465,-0.08873676227625227,-0.302089493187394,-0.29238366182114495,-0.24975662282217842,-0.28024759656265813,-0.041491068030018584,-0.041500984909484215,-0.0038186915949591175,0.04474686687902918,-0.03912345429485077,-0.028333364406606786,-0.1447784868428154,0.7741661811799863,0.7190105766698003,-0.7190105766698003,-0.16470255946223458,1.0,-0.028944239917017986,-0.2514007465842023,-0.27120838149312676,0.5039350420503511,-0.16868104831076491,-0.18886461258863174,0.2762703063288625,0.011591445449753303,0.05066715361615547,-0.04554864087297291,-0.17358650778128623,0.10688896367381184,-0.0020988450384573907,0.013524392046847591,0.020091619806673556,-0.026981529648144598,-0.027320104683498093,0.0037058526756987473,0.1284340587718017,0.07094095955595373,0.028142650801831978,-0.14558043745789534
或有負債 / 淨值,0.00402978393751776,-0.008187446026421772,0.004870668095256495,-0.0031064467902652856,0.002164165978306136,-0.04386567618666622,0.0076244585532531895,0.009642366954738333,0.00128362073644105,0.00984916636064857,0.010823655426138584,-0.025331900806210273,-0.006199125485902632,0.03487374081185384,0.08814595452575681,0.020430719377142616,-0.009128091427089124,-0.019880504520907002,-0.01585296728221337,-0.012992418282580803,-0.01299275932014322,-0.002355111343024033,0.00012372708171236657,-0.002144622512148224,-0.004358782828369654,-0.007541955294164236,-0.009293639337536281,0.011261424892277964,-0.011261424892277954,-0.01772977292599936,-0.028944239917017986,1.0,-0.01968619112417955,-0.014480717787761034,0.041791899467092615,-0.044143892586969984,-0.024160116988737598,0.026181868060811082,-0.0013051264403900176,-0.03987695555092385,-0.011708037407857412,0.00961374232938081,0.0854354086001315,0.011991174963333528,0.047954041580463146,-0.0008892441961434127,-0.04600175209870574,0.09441518330737125,-0.0502879721972715,-0.05094089225585361,-0.06033714569934202,-0.058612779661852396,0.030723433782070462
營業利益 / 實收資本比,0.8001082471854066,0.7888893543052797,0.7819719879676459,0.7609981181910983,0.7906570759087045,0.5109737392505692,0.41568199588377924,0.2379209237608911,0.07122038726727106,0.11539861746948424,0.22961715665023508,-0.18368676706202713,0.3441480223251358,-0.06709388752112841,0.4128197548525203,0.6999532461899608,0.974835255800214,0.9998633479806449,0.9695692620430989,0.048448966792259386,0.04845264565387125,0.10310814020613213,0.13267009223764045,0.22584927402999252,0.2202465503391983,0.20746438516336635,-0.17533575109605443,-0.09966404152633773,0.09966404152633782,-0.062413488445889814,-0.2514007465842023,-0.01968619112417955,1.0,0.9760816618221203,-0.09162238751066383,0.14731239485887612,0.04955715748257006,0.16123510548228562,-0.06859348870423063,-0.008840280475613384,0.06797345393962691,0.03958184943869737,-0.07547879574741953,-0.09716949385221942,-0.0015268538143973847,-0.05835258915116531,0.01240726765072984,-0.08978603540914988,-0.062312070774902736,-0.03546698382437129,0.015275733145580284,-0.04017444897765504,0.23744653068115165
稅前純益 / 實收資本,0.7840034752251673,0.813226497774705,0.7645586288785577,0.7907282164860777,0.7725715373360738,0.5075818376299955,0.4347672201605515,0.27413563763231097,0.0739350756145607,0.1598973015211514,0.2581092942042154,-0.21053546699425782,0.3216639530116012,-0.07682887047677857,0.43109294253221764,0.6947037887204776,0.9744326534729416,0.9760658087695973,0.9953590985627475,0.061938573720583555,0.06194193940898642,0.09033162368235431,0.14945368889771107,0.2563520230032368,0.2586219156335248,0.2192230211825929,-0.17489914301949408,-0.09830276841809878,0.0983027684180988,-0.06863958801374387,-0.27120838149312676,-0.014480717787761034,0.9760816618221203,1.0,-0.08362663222267387,0.14498415095266987,0.05567743277583756,0.1606532805318613,-0.08581422888420062,-0.019766412784850213,0.04853453665570278,0.0195077302077668,-0.05714244757141118,-0.10118282959762301,0.0007244268405229298,-0.06572900988588326,0.0072141287680865486,-0.07382534394895449,-0.058623189327583314,-0.019678134768001232,0.021243197694136448,-0.02828360984113878,0.22000932891614464
